pid,order,step,technique,task,size,trial,pAnswer,correctAnswer,startTime,endTime,completionTime,clicksLink,clicksNode,penDownTime
p6,B,S0,active,reach,n20,t3,7,9,-1966804005,-1966742171,61834,0,0,3333
p7,C,S3,active,reach,n20,t0,8,8,-1954230582,-1954210757,19825,0,6,2634
p7,C,S0,baseline,degree,n80,t2,12,16,-1956720744,-1956656331,64413,2,48,0
p7,C,S3,active,reach,n80,t1,18,21,-1954058423,-1954031823,26600,0,3,6831
p7,C,S2,active,degree,n40,t2,7,7,-1955192703,-1955111372,81331,2,35,8328
p7,C,S0,baseline,degree,n20,t1,2,4,-1957953245,-1957888666,64579,1,25,0
p7,C,S1,baseline,reach,n40,t0,15,16,-1956176038,-1956081572,94466,4,22,0
p7,C,S0,baseline,degree,n40,t1,2,9,-1957689808,-1957602411,87397,1,32,0
p7,C,S1,baseline,reach,n20,t3,9,9,-1956370178,-1956350410,19768,0,7,0
p7,C,S2,active,degree,n80,t2,16,16,-1954584151,-1954452719,131432,7,65,18175
p7,C,S3,active,reach,n40,t0,15,16,-1954130974,-1954097074,33900,1,6,6533
p7,C,S2,active,degree,n20,t1,4,4,-1955355380,-1955309956,45424,0,28,1847
p7,C,S1,baseline,reach,n80,t0,29,25,-1955834534,-1955732240,102294,3,64,0
p7,C,S1,baseline,reach,n40,t3,12,14,-1956345288,-1956318149,27139,0,9,0
p7,C,S2,active,degree,n40,t3,7,8,-1955109734,-1955022834,86900,4,39,7640
p7,C,S3,active,reach,n20,t1,11,11,-1954308466,-1954269728,38738,0,5,4917
